matchID, particpantID, Win, FirstBlood, FirstBloodAssist, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced
1517867002 , 1 , 1 , 1 , 0 , 1 , 0 , 0.795918367347 , 0.103448275862 , 0.0 , 0.347707720788 , 0.401121105462 , 0.461270713466 , 0.687745796736 , 0.343887823407 , 0.465910453129 , 0.352402745995 , 0.893063583815 , 0.0 , 
1517867002 , 2 , 1 , 0 , 0 , 0 , 0 , 0.0 , 0.137931034483 , 0.0 , 0.147947293913 , 0.151479598488 , 0.168146555443 , 0.00136564106774 , 0.376797534384 , 0.129585231359 , 0.180778032037 , 0.0578034682081 , 0.0 , 
1517867002 , 3 , 1 , 0 , 0 , 0 , 0 , 0.0816326530612 , 0.275862068966 , 0.333333333333 , 0.160100185125 , 0.160083431104 , 0.136713850564 , 0.201682051894 , 0.105781213853 , 0.150233756893 , 0.114416475973 , 0.00578034682081 , 1.0 , 
1517867002 , 4 , 1 , 0 , 0 , 0 , 0 , 0.0204081632653 , 0.103448275862 , 0.333333333333 , 0.153326799521 , 0.154868987094 , 0.0738053050363 , 0.0461109079647 , 0.119870450662 , 0.135249340686 , 0.137299771167 , 0.0433526011561 , 0.0 , 
1517867002 , 5 , 1 , 0 , 0 , 0 , 0 , 0.102040816327 , 0.379310344828 , 0.333333333333 , 0.190918000653 , 0.132446877852 , 0.160063575491 , 0.0630956023373 , 0.296881413103 , 0.119021217933 , 0.215102974828 , 0.0 , 0.0 , 
1517867002 , 6 , 0 , 0 , 0 , 0 , 0 , 0.333333333333 , 0.142857142857 , 0.102040816327 , 0.205482555505 , 0.224013425549 , 0.111812661176 , 0.226154206703 , 0.561284274666 , 0.184351418574 , 0.216589861751 , 0.0103305785124 , 0.0 , 
1517867002 , 7 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 0.244897959184 , 0.165292251926 , 0.140612286412 , 0.155319856917 , 0.847375205062 , 0.246484649637 , 0.196355549935 , 0.101382488479 , 0.754132231405 , 0.0 , 
1517867002 , 8 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.285714285714 , 0.34693877551 , 0.221794290893 , 0.230878763222 , 0.422585475418 , 2.41662760722 , 0.559585188657 , 0.227625310906 , 0.345622119816 , 0.0227272727273 , 0.0 , 
1517867002 , 9 , 0 , 0 , 0 , 0 , 0 , 0.333333333333 , 0.285714285714 , 0.142857142857 , 0.185817852288 , 0.19512815297 , 0.104325763248 , 0.0841340520272 , 0.650632763065 , 0.206778803592 , 0.101382488479 , 0.0144628099174 , 0.0 , 
1517867002 , 10 , 0 , 0 , 0 , 0 , 0 , 0.333333333333 , 0.285714285714 , 0.163265306122 , 0.221613049388 , 0.209367371847 , 0.205956243241 , 0.047222873213 , 1.40326927584 , 0.184888916993 , 0.235023041475 , 0.198347107438 , 0.0 , 
1517867097 , 1 , 1 , 0 , 0 , 1 , 0 , 0.813953488372 , 0.0454545454545 , 0.0 , 0.42758180487 , 0.388045476207 , 0.698066685086 , 0.803701237944 , 0.097958951106 , 0.111579651941 , 0.603290676417 , 0.326047358834 , 1.0 , 
