Win, FirstBlood, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced
1 , 1 , 1 , 0 , 0.795918367347 , 0.103448275862 , 0.0 , 0.347707720788 , 0.401121105462 , 0.461270713466 , 0.687745796736 , 0.276610942705 , 0.465910453129 , 0.352402745995 , 0.893063583815 , 0.0 , 
1 , 0 , 0 , 0 , 0.0 , 0.137931034483 , 0.0 , 0.147947293913 , 0.151479598488 , 0.168146555443 , 0.00136564106774 , 0.3030823254 , 0.129585231359 , 0.180778032037 , 0.0578034682081 , 0.0 , 
1 , 0 , 0 , 0 , 0.0816326530612 , 0.275862068966 , 0.333333333333 , 0.160100185125 , 0.160083431104 , 0.136713850564 , 0.201682051894 , 0.0850865872325 , 0.150233756893 , 0.114416475973 , 0.00578034682081 , 1.0 , 
1 , 0 , 0 , 0 , 0.0204081632653 , 0.103448275862 , 0.333333333333 , 0.153326799521 , 0.154868987094 , 0.0738053050363 , 0.0461109079647 , 0.096419460368 , 0.135249340686 , 0.137299771167 , 0.0433526011561 , 0.0 , 
1 , 0 , 0 , 0 , 0.102040816327 , 0.379310344828 , 0.333333333333 , 0.190918000653 , 0.132446877852 , 0.160063575491 , 0.0630956023373 , 0.238800684294 , 0.119021217933 , 0.215102974828 , 0.0 , 0.0 , 
0 , 0 , 0 , 0 , 0.333333333333 , 0.142857142857 , 0.102040816327 , 0.205482555505 , 0.224013425549 , 0.111812661176 , 0.0624474212127 , 0.164057951159 , 0.184351418574 , 0.216589861751 , 0.0103305785124 , 0.0 , 
0 , 0 , 0 , 0 , 0.0 , 0.0 , 0.244897959184 , 0.165292251926 , 0.140612286412 , 0.155319856917 , 0.233983692487 , 0.072045073124 , 0.196355549935 , 0.101382488479 , 0.754132231405 , 0.0 , 
0 , 0 , 0 , 0 , 0.0 , 0.285714285714 , 0.34693877551 , 0.221794290893 , 0.230878763222 , 0.422585475418 , 0.667297612114 , 0.163561324794 , 0.227625310906 , 0.345622119816 , 0.0227272727273 , 0.0 , 
0 , 0 , 0 , 0 , 0.333333333333 , 0.285714285714 , 0.142857142857 , 0.185817852288 , 0.19512815297 , 0.104325763248 , 0.0232317349382 , 0.190173647978 , 0.206778803592 , 0.101382488479 , 0.0144628099174 , 0.0 , 
0 , 0 , 0 , 0 , 0.333333333333 , 0.285714285714 , 0.163265306122 , 0.221613049388 , 0.209367371847 , 0.205956243241 , 0.013039539248 , 0.410162002946 , 0.184888916993 , 0.235023041475 , 0.198347107438 , 0.0 , 
1 , 0 , 1 , 0 , 0.813953488372 , 0.0454545454545 , 0.0 , 0.42758180487 , 0.388045476207 , 0.698066685086 , 0.803701237944 , 0.354084464293 , 0.111579651941 , 0.603290676417 , 0.326047358834 , 1.0 , 
1 , 0 , 0 , 0 , 0.0697674418605 , 0.363636363636 , 0.125 , 0.152664876941 , 0.164000272313 , 0.0578694298497 , 0.0296740799386 , 0.162923297056 , 0.214270414993 , 0.073126142596 , 0.0856102003643 , 0.0 , 
1 , 0 , 0 , 0 , 0.0232558139535 , 0.181818181818 , 0.3125 , 0.150487168416 , 0.167018403794 , 0.0926398443504 , 0.043094141356 , 0.276752807527 , 0.217844712182 , 0.155393053016 , 0.00182149362477 , 0.0 , 
1 , 0 , 0 , 0 , 0.046511627907 , 0.272727272727 , 0.4375 , 0.14630071151 , 0.158849025348 , 0.0958972489674 , 0.0895800345473 , 0.123921432598 , 0.271820615797 , 0.113345521024 , 0.0437158469945 , 0.0 , 
1 , 0 , 0 , 0 , 0.046511627907 , 0.136363636364 , 0.125 , 0.122965438264 , 0.122086822339 , 0.0555267917467 , 0.0339505062137 , 0.0823179985258 , 0.184484605087 , 0.054844606947 , 0.542805100182 , 0.0 , 
0 , 0 , 0 , 0 , 0.25 , 0.264705882353 , 0.232558139535 , 0.225800289278 , 0.232578783844 , 0.275978181996 , 0.420704256199 , 0.133815077755 , 0.238793587272 , 0.254957507082 , 0.104039167687 , 0.0 , 
0 , 0 , 0 , 0 , 0.1875 , 0.117647058824 , 0.116279069767 , 0.169500313839 , 0.18286728806 , 0.0833829320593 , 0.0121350757225 , 0.160218052738 , 0.226666015959 , 0.118980169972 , 0.631578947368 , 0.5 , 
0 , 0 , 0 , 0 , 0.0625 , 0.147058823529 , 0.279069767442 , 0.183554839942 , 0.165704985945 , 0.198873225657 , 0.293269737749 , 0.106744421907 , 0.1604727394 , 0.240793201133 , 0.108935128519 , 0.0 , 
0 , 0 , 0 , 0 , 0.5 , 0.205882352941 , 0.186046511628 , 0.247577982152 , 0.259061991419 , 0.248261326854 , 0.0101233786776 , 0.504149763354 , 0.181393003262 , 0.232294617564 , 0.0452876376989 , 0.0 , 
0 , 0 , 0 , 0 , 0.0 , 0.264705882353 , 0.186046511628 , 0.173566574789 , 0.159786950732 , 0.193504333434 , 0.263767551651 , 0.0950726842461 , 0.192674654108 , 0.152974504249 , 0.110159118727 , 0.5 , 
1 , 1 , 1 , 0 , 0.794871794872 , 0.148148148148 , 0.277777777778 , 0.350646281382 , 0.356432748538 , 0.530438400844 , 0.0653401308781 , 0.769575329486 , 0.282531293463 , 0.430555555556 , 0.147137150466 , 0.25 , 
1 , 0 , 0 , 0 , 0.025641025641 , 0.296296296296 , 0.222222222222 , 0.165069900195 , 0.159064327485 , 0.129072775626 , 0.280155227515 , 0.0513825480231 , 0.179388038943 , 0.12962962963 , 0.643808255659 , 0.25 , 
1 , 0 , 0 , 0 , 0.0512820512821 , 0.259259259259 , 0.138888888889 , 0.158543458105 , 0.156335282651 , 0.0999511538293 , 0.170278496424 , 0.0638023790319 , 0.193824756606 , 0.12037037037 , 0.0446071904128 , 0.25 , 
1 , 0 , 0 , 0 , 0.102564102564 , 0.111111111111 , 0.138888888889 , 0.163397385787 , 0.155945419103 , 0.116124663698 , 0.250509815858 , 0.0470207284317 , 0.202621696801 , 0.125 , 0.164447403462 , 0.0 , 
1 , 0 , 0 , 0 , 0.025641025641 , 0.185185185185 , 0.222222222222 , 0.162342974531 , 0.172222222222 , 0.124413006004 , 0.233716329326 , 0.0682190150275 , 0.141634214186 , 0.194444444444 , 0.0 , 0.25 , 
0 , 0 , 0 , 0 , 0.257142857143 , 0.181818181818 , 0.128205128205 , 0.208900351185 , 0.208951120363 , 0.15331248437 , 0.209943186744 , 0.110370141164 , 0.162142430096 , 0.158110882957 , 0.526737967914 , 0.0 , 
0 , 0 , 0 , 0 , 0.228571428571 , 0.218181818182 , 0.307692307692 , 0.200888937665 , 0.202274110878 , 0.212016747293 , 0.389763210671 , 0.0608561581716 , 0.233955344003 , 0.17453798768 , 0.0267379679144 , 0.333333333333 , 
