0,626,10,883,169,103,1,18,1,401,12,0
1,30,17,84,4,16,4,38,3,30,24,2
0,238,4,232,132,38,0,6,0,96,5,0
5,145,19,294,16,44,3,8,6,70,7,0
49,156,97,238,159,66,38,302,66,118,107,36
0,20,4,48,1,4,2,2,6,15,4,0
0,64,6,149,14,33,0,2,0,76,3,0
0,212,10,180,239,33,0,2,0,94,2,0
1,243,75,269,266,64,0,288,1,127,154,0
6,205,23,279,297,38,2,27,1,100,15,1
447,48,340,202,83,35,261,223,253,45,119,259
2,332,4,211,841,28,10,43,4,82,5,1
0,673,15,1050,56,148,0,17,4,412,3,0
7,128,12,263,71,34,6,21,11,58,7,2
88,167,5,370,21,30,146,8,138,76,4,8
0,135,3,20,875,3,5,7,7,23,2,2
3,257,27,552,38,66,2,28,2,176,18,0
334,338,34,653,46,79,389,8,619,223,3,7
6,295,171,166,303,141,2,604,2,163,191,12
1,286,22,245,298,52,0,201,0,109,45,0
202,454,24,650,46,47,264,12,207,143,7,5
564,170,23,690,64,50,656,22,397,76,6,11
82,73,69,160,47,31,113,68,116,36,32,52
55,184,50,385,137,58,90,125,80,120,58,9
0,329,13,701,606,88,0,9,1,141,7,1
0,195,2,368,352,33,0,4,0,47,3,0
0,35,4,148,13,17,1,3,0,14,4,0
8,6,46,21,2,22,2,150,4,21,66,9
62,70,14,136,5,22,70,17,100,47,5,3
104,82,7,177,10,13,120,9,99,26,2,4
0,298,14,347,222,65,0,53,1,110,15,0
0,120,76,274,41,73,0,479,0,64,149,0
3,112,14,280,37,36,0,215,1,72,61,1
16,20,3,35,18,7,35,3,37,12,0,5
51,8,71,46,5,34,17,156,18,18,68,75
4,160,17,249,204,64,2,45,4,156,11,0
1,101,3,21,568,15,2,3,1,26,2,0
0,57,9,100,9,20,0,1,0,64,3,0
57,115,13,194,150,35,73,7,52,89,2,0
0,33,4,25,337,5,0,1,0,5,0,0
112,65,66,143,78,18,194,19,140,39,10,41
126,103,37,212,12,20,133,9,191,69,2,5
0,65,2,111,156,18,0,1,0,23,0,0
0,346,4,23,755,18,0,5,0,50,1,0
